state,state_code,region,division,basin,east_west_mississippi_river,coal_state,interior
Alaska,AK,West,Pacific,,West of Mississippi River,1,0
Alabama,AL,South,East South Central,Appalachian,East of Mississippi River,1,0
Arkansas,AR,South,West South Central,Interior,West of Mississippi River,1,1
Arizona,AZ,West,Mountain,,West of Mississippi River,1,0
California,CA,West,Pacific,,West of Mississippi River,0,0
Colorado,CO,West,Mountain,,West of Mississippi River,1,0
Connecticut,CT,Northeast,New England,,East of Mississippi River,0,0
District of Columbia,DC,South,South Atlantic,,West of Mississippi River,0,0
Delaware,DE,South,South Atlantic,,East of Mississippi River,0,0
Florida,FL,South,South Atlantic,,East of Mississippi River,0,0
Georgia,GA,South,South Atlantic,,East of Mississippi River,0,0
Hawaii,HI,West,Pacific,,West of Mississippi River,0,0
Iowa,IA,Midwest,West North Central,,West of Mississippi River,0,0
Idaho,ID,West,Mountain,,West of Mississippi River,0,0
Illinois,IL,Midwest,East North Central,Interior,East of Mississippi River,1,1
Indiana,IN,Midwest,East North Central,Interior,East of Mississippi River,1,1
Kansas,KS,Midwest,West North Central,Interior,West of Mississippi River,1,1
Kentucky,KY,South,East South Central,Appalachian,East of Mississippi River,1,1
Louisiana,LA,South,West South Central,Interior,West of Mississippi River,1,1
Massachusetts,MA,Northeast,New England,,East of Mississippi River,0,0
Maryland,MD,South,South Atlantic,Appalachian,East of Mississippi River,1,0
Maine,ME,Northeast,New England,,East of Mississippi River,0,0
Michigan,MI,Midwest,East North Central,,East of Mississippi River,0,0
Minnesota,MN,Midwest,West North Central,,West of Mississippi River,0,0
Missouri,MO,Midwest,West North Central,Interior,West of Mississippi River,1,1
Mississippi,MS,South,East South Central,Interior,East of Mississippi River,1,1
Montana,MT,West,Mountain,,West of Mississippi River,1,0
North Carolina,NC,South,South Atlantic,,East of Mississippi River,0,0
North Dakota,ND,Midwest,West North Central,,West of Mississippi River,1,0
Nebraska,NE,Midwest,West North Central,,West of Mississippi River,0,0
New Hampshire,NH,Northeast,New England,,East of Mississippi River,0,0
New Jersey,NJ,Northeast,Middle Atlantic,,East of Mississippi River,0,0
New Mexico,NM,West,Mountain,,West of Mississippi River,1,0
Nevada,NV,West,Mountain,,West of Mississippi River,0,0
New York,NY,Northeast,Middle Atlantic,,East of Mississippi River,0,0
Ohio,OH,Midwest,East North Central,Appalachian,East of Mississippi River,1,0
Oklahoma,OK,South,West South Central,Interior,West of Mississippi River,1,1
Oregon,OR,West,Pacific,,West of Mississippi River,0,0
Pennsylvania,PA,Northeast,Middle Atlantic,Appalachian,East of Mississippi River,1,0
Rhode Island,RI,Northeast,New England,,East of Mississippi River,0,0
South Carolina,SC,South,South Atlantic,,East of Mississippi River,0,0
South Dakota,SD,Midwest,West North Central,,West of Mississippi River,0,0
Tennessee,TN,South,East South Central,Appalachian,East of Mississippi River,1,0
Texas,TX,South,West South Central,Interior,West of Mississippi River,1,1
Utah,UT,West,Mountain,,West of Mississippi River,1,0
Virginia,VA,South,South Atlantic,Appalachian,East of Mississippi River,1,0
Vermont,VT,Northeast,New England,,East of Mississippi River,0,0
Washington,WA,West,Pacific,,West of Mississippi River,0,0
Wisconsin,WI,Midwest,East North Central,,East of Mississippi River,0,0
West Virginia,WV,South,South Atlantic,Appalachian,East of Mississippi River,1,0
Wyoming,WY,West,Mountain,,West of Mississippi River,1,0